;row_type;node_name_start;node_id_start;node_id_end;node_name_end;X_start;X_end;Y_start;Y_end;startKind;startValue;startT;endKind;endValue;endT;startIsSource;startIsOutlet;endIsSource;endIsOutlet;altitude_start;altitude_end;L;d;s;uphillM;effectiveD;intD;roughness;perforation;pumpDepth;model;frequency;productivity;predict_mode;shtr_debit;K_pump;VolumeWater;choke_diam;Gas_factor_m3_m3;Oildensity_kg_m3;Waterdensity_kg_m3;Formation_pressure_bar
137;injection_well;к.38;к.38;к.38__скв.457;к.38__скв.457;439007.41;439007.41;6542717.22;6542717.22;;;;Q;1.1574074074;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
138;injection_well;к.27;к.27;к.27__скв.530;к.27__скв.530;445689.07;445689.07;6551811.93;6551811.93;;;;Q;0.3298611111;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
139;injection_well;к.2;к.2;к.2__скв.481;к.2__скв.481;437900.82;437900.82;6547270.63;6547270.63;;;;Q;3.0972222222;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
140;injection_well;к.2;к.2;к.2__скв.618;к.2__скв.618;437900.82;437900.82;6547270.63;6547270.63;;;;Q;2.9895833333;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;5;;826;1015;66.7
141;injection_well;к.27;к.27;к.27__скв.659;к.27__скв.659;445689.07;445689.07;6551811.93;6551811.93;;;;Q;0;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
142;injection_well;к.29;к.29;к.29__скв.673;к.29__скв.673;442419.25250814;442419.25250814;6543927.99863549;6543927.99863549;;;;Q;1.6342592593;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;5;;826;1015;66.7
143;injection_well;к.30;к.30;к.30__скв.3708излив;к.30__скв.3708излив;446283.29;446283.29;6561199.87;6561199.87;;;;Q;0.1018518519;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;;;826;1015;66.7
144;injection_well;к.13;к.13;к.13__скв.447;к.13__скв.447;442206.83;442206.83;6552792.71;6552792.71;;;;Q;3.0856481481;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;12;;826;1015;66.7
145;pipe;уз.в к38;уз.в к38;к.64;к.64;439186.23757;436231.931071926;6542524.47211;6542395.83257822;;;20;;;;0.0;0.0;;False;64.0;;4001;0.168;0.016;;0.46;0.168;1e-05;;;;;;;;;;;;826;1015;66.7
146;injection_well;к.95;к.95;к.95__скв.1973;к.95__скв.1973;435050.401304839;435050.401304839;6549382.47864749;6549382.47864749;;;;Q;1.8298611111;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;5;;826;1015;66.7
147;injection_well;к.27;к.27;к.27__скв.522;к.27__скв.522;445689.07;445689.07;6551811.93;6551811.93;;;;Q;0;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
148;pipe;уз. в к1;уз. в к1;т.вр. в к1;т.вр. в к1;439822.710824675;438239.288098401;6546130.66132836;6546291.66936641;;;20;;;20;0.0;0.0;0.0;False;84.8;85.3;1697;0.219;0.018000000000000002;;0.46;0.219;1e-05;;;;;;;;;;;;826;1015;66.7
149;injection_well;к.25;к.25;к.25__скв.644;к.25__скв.644;441032.833356061;441032.833356061;6544877.67526717;6544877.67526717;;;;Q;0.4537037037;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
150;injection_well;к.12;к.12;к.12__скв.31;к.12__скв.31;437701.59;437701.59;6550241.15;6550241.15;;;;Q;0.599537037;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
151;injection_well;к.23б;к.23б;к.23б__скв.501;к.23б__скв.501;436781.68;436781.68;6545404.95;6545404.95;;;;Q;1.2256944444;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;8;;826;1015;66.7
152;injection_well;к.27;к.27;к.27__скв.656;к.27__скв.656;445689.07;445689.07;6551811.93;6551811.93;;;;Q;0.287037037;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
153;pipe;КНС-1 Тайлаковская;КНС-1 Тайлаковская;уз. в к1;уз. в к1;441550.236489935;439822.710824675;6546637.55635533;6546130.66132836;P;;20;;;20;1.0;;0.0;False;86.9;84.8;2087;0.273;0.02;;0.46;0.273;1e-05;;;;;;;;;;;;826;1015;66.7
154;injection_well;к.27;к.27;к.27__скв.660;к.27__скв.660;445689.07;445689.07;6551811.93;6551811.93;;;;Q;1.1030092593;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
