,iconname,w,h,rotate,path,compname,ID примитива,PrimitiveName,Класс CIM из IEC61970-301,"Номер в СТО 56947007-
29.240.10.035-2009","Название в СТО 56947007-
29.240.10.035-2009",Определение в ГОСТ Р 58651
90,Автоматический выключатель включен_r.svg,91,91,right,primitives_img/Автоматический выключатель включен_r.svg,Автоматический выключатель включен,12.0,CircuitBreakerOn,Breaker,7 а,Автоматический выключатель,Выключатель
91,Автотрансформатор 3-х обмоточный с РПН_l.svg,119,91,left,primitives_img/Автотрансформатор 3-х обмоточный с РПН_l.svg,Автотрансформатор 3-х обмоточный с РПН,21.0,3WindAutotransformerWithTapChanger,PowerTransformer,10,Автотрансформатор 3-х обмоточный,Силовой трансформатор
92,Разрядник_l.svg,91,91,left,primitives_img/Разрядник_l.svg,Разрядник,35.0,Discharger,ConductingEquipment,19,Разрядник,
93,Тележка выключателя КРУ в ремонтном положении выключатель отключен_f.svg,91,91,none,primitives_img/Тележка выключателя КРУ в ремонтном положении выключатель отключен_f.svg,Тележка выключателя КРУ в ремонтном положении выключатель отключен,16.0,KruSwitchTrolleyRepairOff,ProtectedSwitch,8 в,Тележка выключателя КРУ,
95,Тележка разъединителя КРУ в ремонтном положении_l.svg,91,91,left,primitives_img/Тележка разъединителя КРУ в ремонтном положении_l.svg,Тележка разъединителя КРУ в ремонтном положении,19.0,KruDisconnectorRepair,ProtectedSwitch,9б,Тележка разъединителя КРУ,
97,Отделитель отключен_r.svg,91,91,right,primitives_img/Отделитель отключен_r.svg,Отделитель отключен,11.0,SeparatorOff,GroundDisconnector,6 б,Отделитель,
98,Трансформатор напряжения 3-х обмоточный_r.svg,81,84,right,primitives_img/Трансформатор напряжения 3-х обмоточный_r.svg,Трансформатор напряжения 3-х обмоточный,30.0,VoltageTransformer-3Wind,PotentialTransformer,14,Трансформатор напряжения 3-х обмоточный,
100,Синхронный компенсатор_f.svg,91,49,none,primitives_img/Синхронный компенсатор_f.svg,Синхронный компенсатор,41.0,SynchronousCompensator,ConductingEquipment,23,Синхронный компенсатор,
101,Трансформатор силовой 3-х обмоточный с РПН_r.svg,81,84,right,primitives_img/Трансформатор силовой 3-х обмоточный с РПН_r.svg,Трансформатор силовой 3-х обмоточный с РПН,25.0,PowerTransformer-3Wind-LoadTapChanger,PowerTransformer,12,Трансформатор силовой 3-х обмоточный,Силовой трансформатор
102,Автоматический выключатель отключен_r.svg,91,91,right,primitives_img/Автоматический выключатель отключен_r.svg,Автоматический выключатель отключен,13.0,CircuitBreakerOff,Breaker,7 б,Автоматический выключатель,Выключатель
