row_type,node_name_start,node_id_start,node_id_end,node_name_end,X_start,X_end,Y_start,Y_end,start_kind,start_value,start_T,end_kind,end_value,end_T,start_is_source,startIsOutlet,end_is_source,endIsOutlet,altitude_start,altitude_end,L,d,s,uphillM,effectiveD,intD,roughness,perforation,pumpDepth,model,frequency,productivity,predict_mode,shtr_debit,K_pump,VolumeWater,choke_diam,p_start,q_start,p_end,q_end,startP,startT,endP,endT,start_Q_m3_day,end_Q_m3_day,res_watercut_percent,res_liquid_density_kg_m3,res_pump_power_watt,X_kg_sec,velocity_m_sec
injection_well,к.23б,к.23б,к.23б__скв.480,к.23б__скв.480,436781.68,436781.68,6545404.95,6545404.95,,,,Q,1.6,,,false,,true,,,,,,,,,0.00001,,,,,,,,,,10,,,,1.6,163.5798314215,20,163.5781703392,20,,,100,1000,,1.6,
injection_well,к.25,к.25,к.25__скв.644,к.25__скв.644,441032.833356061,441032.833356061,6544877.67526717,6544877.67526717,,,,Q,0.09,,,false,,true,,,,,,,,,0.00001,,,,,,,,,,32,,,,0.09,205.1674977756,20,205.1674860873,20,,,100,1000,,0.09,
injection_well,к.122,к.122,к.122__скв.553,к.122__скв.553,442533.76,442533.76,6547346.62,6547346.62,,,,Q,0.32,,,false,,true,,,,,,,,,0.00001,,,,,,,,,,6,,,,0.32,216.7066726986,20,216.7065739217,20,,,100,1000,,0.32,
pipe,т.вр. к25,т.вр. к25,к.25,к.25,440901.12,441032.833356061,6546589.55,6544877.67526717,,,20,,,,false,false,,false,79,,2097,0.114,0.011,,0.46,0.114,0.00001,,,,,,,,,,,,,,,217.1232409775,20,205.1674977756,20,,,100,1000,,3.81,0.3732719874
injection_well,к.22,к.22,к.22__скв.550,к.22__скв.550,442344.75,442344.75,6547154.86,6547154.86,,,,Q,0.08,,,false,,true,,,,,,,,,0.00001,,,,,,,,,,,,,,0.08,216.8359771559,20,216.8359667663,20,,,100,1000,,0.08,
injection_well,к.23б,к.23б,к.23б__скв.497,к.23б__скв.497,436781.68,436781.68,6545404.95,6545404.95,,,,Q,2.42,,,false,,true,,,,,,,,,0.00001,,,,,,,,,,5,,,,2.42,163.5798314215,20,163.5763922539,20,,,100,1000,,2.42,
injection_well,к.23б,к.23б,к.23б__скв.488,к.23б__скв.488,436781.68,436781.68,6545404.95,6545404.95,,,,Q,0.33,,,false,,true,,,,,,,,,0.00001,,,,,,,,,,32,,,,0.33,163.5798314215,20,163.5797271748,20,,,100,1000,,0.33,
pipe,т.вр. в к13,т.вр. в к13,уз. в к13,уз. в к13,442645.974755974,442190.044377435,6552537.35535135,6552776.39314528,,,20,,,20,false,false,false,false,84,88.2,577,0.168,0.016,,0.46,0.168,0.00001,,,,,,,,,,,,,,,211.8333304371,20,210.5493749868,20,,,100,1000,,5.17,0.2332287613
injection_well,к.30,к.30,к.30__скв.3708излив,к.30__скв.3708излив,446283.29,446283.29,6561199.87,6561199.87,,,,Q,0.1,,,false,,true,,,,,,,,,0.00001,,,,,,,,,,,,,,0.1,209.6444415503,20,209.6444285632,20,,,100,1000,,0.1,
injection_well,к.1,к.1,к.1__скв.86,к.1__скв.86,439823.23,439823.23,6546342.02,6546342.02,,,,Q,1.15,,,false,,true,,,,,,,,,0.00001,,,,,,,,,,7,,,,1.15,202.6732090924,20,202.6722790197,20,,,100,1000,,1.15,
